Date,Open,High,Low,Close,Volume,Adj Close
09-05-2016,17743.84961,17783.16016,17668.38086,17705.91016,85590000,17705.91016
06-05-2016,17650.30078,17744.53906,17580.38086,17740.63086,80020000,17740.63086
05-05-2016,17664.48047,17736.10938,17615.82031,17660.71094,81530000,17660.71094
04-05-2016,17735.01953,17738.06055,17609.00977,17651.25977,95020000,17651.25977
03-05-2016,17870.75,17870.75,17670.88086,17750.91016,97060000,17750.91016
02-05-2016,17783.7793,17912.34961,17773.71094,17891.16016,80100000,17891.16016
29-04-2016,17813.08984,17814.83008,17651.98047,17773.64063,136670000,17773.64063
28-04-2016,18023.88086,18035.73047,17796.55078,17830.75977,100920000,17830.75977
27-04-2016,17996.14063,18084.66016,17920.25977,18041.55078,109090000,18041.55078
26-04-2016,17987.38086,18043.76953,17934.16992,17990.32031,92570000,17990.32031
25-04-2016,17990.93945,17990.93945,17855.55078,17977.24023,83770000,17977.24023
22-04-2016,17985.05078,18026.84961,17909.89063,18003.75,134120000,18003.75
21-04-2016,18092.83984,18107.28906,17963.89063,17982.51953,102720000,17982.51953
20-04-2016,18059.49023,18167.63086,18031.21094,18096.26953,100210000,18096.26953
19-04-2016,18012.09961,18103.46094,17984.42969,18053.59961,89820000,18053.59961
18-04-2016,17890.19922,18009.5293,17848.2207,18004.16016,89390000,18004.16016
15-04-2016,17925.94922,17937.65039,17867.41016,17897.46094,118160000,17897.46094
14-04-2016,17912.25,17962.14063,17885.43945,17926.42969,84510000,17926.42969
13-04-2016,17741.66016,17918.34961,17741.66016,17908.2793,91710000,17908.2793
12-04-2016,17571.33984,17744.42969,17553.57031,17721.25,81020000,17721.25
11-04-2016,17586.48047,17731.63086,17555.90039,17556.41016,107100000,17556.41016
08-04-2016,17555.39063,17694.50977,17528.16016,17576.96094,79990000,17576.96094
07-04-2016,17687.2793,17687.2793,17484.23047,17541.96094,90120000,17541.96094
06-04-2016,17605.44922,17723.55078,17542.53906,17716.05078,99410000,17716.05078
05-04-2016,17718.0293,17718.0293,17579.56055,17603.32031,115230000,17603.32031
04-04-2016,17799.39063,17806.38086,17710.66992,17737,85230000,17737
01-04-2016,17661.74023,17811.48047,17568.01953,17792.75,104890000,17792.75
31-03-2016,17716.05078,17755.69922,17669.7207,17685.08984,102600000,17685.08984
30-03-2016,17652.35938,17790.10938,17652.35938,17716.66016,79330000,17716.66016
29-03-2016,17512.58008,17642.81055,17434.26953,17633.10938,86160000,17633.10938
28-03-2016,17526.08008,17583.81055,17493.0293,17535.39063,70460000,17535.39063
24-03-2016,17485.33008,17517.14063,17399.00977,17515.73047,84100000,17515.73047
23-03-2016,17588.81055,17588.81055,17486.26953,17502.58984,84240000,17502.58984
22-03-2016,17602.71094,17648.93945,17540.41992,17582.57031,95450000,17582.57031
21-03-2016,17589.69922,17644.9707,17551.2793,17623.86914,84410000,17623.86914
18-03-2016,17481.49023,17620.58008,17481.49023,17602.30078,321230000,17602.30078
17-03-2016,17321.38086,17529.00977,17297.65039,17481.49023,117990000,17481.49023
16-03-2016,17249.33984,17379.17969,17204.07031,17325.75977,118710000,17325.75977
15-03-2016,17217.15039,17251.69922,17120.34961,17251.5293,92830000,17251.5293
14-03-2016,17207.49023,17275.07031,17161.16016,17229.13086,96350000,17229.13086
11-03-2016,17014.99023,17220.08984,17014.99023,17213.31055,123420000,17213.31055
10-03-2016,17006.05078,17130.10938,16821.85938,16995.13086,117570000,16995.13086
09-03-2016,16969.16992,17048.5,16947.93945,17000.35938,116690000,17000.35938
08-03-2016,17050.66992,17072.78906,16921.50977,16964.09961,108380000,16964.09961
07-03-2016,16991.28906,17099.25,16940.48047,17073.94922,100290000,17073.94922
